id,レシピ名,材料1,数量1,材料2,数量2,材料3,数量3,材料4,数量4,材料5,数量5,材料6,数量6,材料7,数量7,材料8,数量8,材料9,数量9,材料10,数量10,材料11,数量11,材料12,数量12,材料13,数量13,材料14,数量14,材料15,数量15,材料16,数量16,材料17,数量17,材料18,数量18,材料19,数量19,材料20,数量20,材料21,数量21,手順1,手順2,手順3,手順4,手順5,手順6,手順7,手順8,手順9,手順10,手順11,手順12,手順13,手順14,手順15,ワンポイント,分量,FIN
30,米っ子うさぎ（人参あん・紫いもあん）,米粉,40g,ベーキングパウダー,0.5g,卵,1個,砂糖,60g,白あん,8g,水,10g,クッキングシート,18cm×18cm,（人参あん）人参,50g,水,30cc,砂糖,5g,白あん,80g,生クリーム,20g,飾り用人参（耳、目）,少量,（紫いもあん）むらさきいも,60g,砂糖,15g,白あん,60g,,,,,,,,,,,卵に砂糖を加えて泡立て、白あんと水を加え混ぜ、米粉とベーキングパウダーも加えて混ぜる。,18cm×18cmの型にクッキングシートをしき1を流して強火で15分位蒸す。,（人参あん）人参をすりおろし水と砂糖を入れて弱火で煮る。途中、白あんも加え煮上げ、人参あんを作る。,人参あんと生クリームを合わせ、蒸し上がった生地にぬって巻く。,2.5cmくらいに切り、耳の部分をハサミで切って（人参の甘煮）耳と目をつけて仕上げる。,むらさきいもは蒸して裏ごしする。砂糖を合わせ白あんも加え、いもあんを作る。作り方は同じですが、目は食紅です。,,,,,,,,,,しっとり米粉のロールケーキ生地で、かわいいスイーツもお任せです。,,FIN
31,米粉だんごのパンプキンしる粉,かぼちゃ,300g,米粉,150g,豆腐,150g,片栗粉,20g,甘納豆,,牛乳,2カップ,砂糖,30g,塩,ひとつまみ,,,,,,,,,,,,,,,,,,,,,,,,,,,かぼちゃは種とワタを取り除き、皮も取り蒸す。やわらかくなったら熱いうちにつぶす。,ボールに米粉、豆腐、片栗粉を入れ、よく混ぜこねて耳たぶくらいの生地を作り丸めておく。,鍋にお湯を沸かし沸騰したら丸めた団子を入れて、団子が浮き上がってから2分程おいて冷水に団子を取る。,1のかぼちゃと牛乳、砂糖、塩を入れ弱火で厚くする。熱くなったら団子を入れ、煮立つ直前に火を止める。,器に盛り、甘納豆を散らす。,,,,,,,,,,,かぼちゃのやさしい甘さと豆腐入り団子がベストマッチ！,4人分,FIN
32,しょうがと煮豆のクッキー,米粉,100g,小麦粉,100g,しょうが,50g,煮豆,100g,サラダ油,大さじ1,砂糖,50g,ベーキングパウダー,小さじ1,牛乳,50cc,,,,,,,,,,,,,,,,,,,,,,,,,,,しょうがは皮をむき、粗みじんに切る。,材料を全て混ぜ合わせ、スプーンで天板に落として180℃のオーブンに入れ、10分程焼く（天板にはあらかじめオーブンシートを敷いておく。またオーブンは温めておく）,,,,,,,,,,,,,,煮豆のかわりに金時豆の煮物やきんぴらなどのお惣菜を加えてもおいしくできます。,10個分,FIN
33,野菜畑のだんご仲間和風スイーツ,米粉,100g,もち米,100g,人参,100g,かぼちゃ,100g,ブロッコリー,100g,枝豆,100g,豆腐,100g,長いも,500g,玉ねぎ,,オクラ,,キャラメルソース,,柿ソース（甘柿・生クリーム・砂糖・塩・干し柿）,,,,,,,,,,,,,,,,,,,,長いも、野菜は下ゆでしておく。野菜と豆腐はそれぞれ100gと、ともにフードプロセッサーにかける,米粉各20g・もち粉各20gを野菜と豆腐に加えて、こね合わせる。塩少々混ぜる。,適当なやわらかさになったらまるめて、たっぷりのお湯で茹でる。団子ができあがる。,キャラメルソースは生キャラメルを作り、かたまらない手前でおく。柿ソースは甘柿・生クリーム・砂糖・塩で味をととのえる。その中に干し柿のみじん切りを混ぜる。上からかけて食べてもいいし、串に刺しそれぞれのソースをつけて食べる。フォンデュのように！,,,,,,,,,,,,ソースをいろいろかえて楽しめます。,,FIN
34,トマトロールケーキ,砂糖,50g,米粉,80g,卵,4個,生クリーム,100cc,砂糖,大さじ1,トマト,中2個,みりん,大さじ1,牛乳,大さじ2,サラダ油,大さじ2,,,,,,,,,,,,,,,,,,,,,,,,,卵を卵白と卵黄に分ける。,卵白をハンドミキサーで泡立て砂糖を2回に分けて入れ角が立つまで泡立てる。,トマトは湯むきし種を取り除いて細かく切り、みりんにつけておく。,卵黄と3のトマト1個分とつけ汁・牛乳・サラダ油をミキサーにかける。,4をボールに入れ、米粉をふるいながら入れてよく混ぜ合わせる。,5に2のメレンゲを3回に分けて混ぜ、オーブンシートを敷いた天板に流し170℃のオーブンで15分焼く。,生クリームに砂糖を加え泡立てる。焼き上がった生地は冷まし、冷めたら生クリームをぬり細かく切ったトマトをちらして巻く。,,,,,,,,,生地にもトマトを入れました。トマトの酸味と生クリームがよくあいます。,,FIN
35,ラクラクもっちりクレープ,米粉,150g,バター,20g,卵,1個,牛乳,400g,グラニュー糖,8g,バナナ,2本（可食200g）,りんご（津軽）,1個（可食180g）,チョコ,1枚,シナモン,少量,砂糖,少量,,,,,,,,,,,,,,,,,,,,,,,米粉、溶かしバター、卵、牛乳、グラニュー糖を混ぜ生地を作る。,バナナは小さく切り軽くつぶす。りんごは5mm角の角切りにする。,生地を2つに分け、1つはバナナと混ぜ、1つはりんごと混ぜる。,ホットプレートで薄く焼いてバナナには溶かしたチョコをかけ、りんごにはシナモンと粉糖をかけて出来上がり。,,,,,,,,,,,,時間がなくてもとっても簡単！小さいお子さんと楽しく作れます。,2種各4枚分,FIN
36,米粉入りアレンジた～っぷり瑞穂のビスコッティ,米粉,50g,小麦粉,70g,ベーキングパウダー,5g,卵,1個,バター,10g,かぼちゃ,30g,大豆・こうじ（全て地元産供用）,大さじ3,生カシューナッツ,20g,ビーフジャッキー,30g,（みそだれディップ）手前みそ熟成10ヶ月,,砂糖,大さじ1,しょう油,少々,,,,,,,,,,,,,,,,,,,米粉、小麦粉、ベーキングパウダーをふるいにかけ、卵、バターを加え全て練り合わせる。,かぼちゃは1～2cm位の角切りにして電子レンジで数分間水分を飛ばし乾燥野菜にする。,生カシューナッツとビーフジャッキーは0.5～1cm位に刻んでおく。,1の中へ2と3を入れなじませる。,鉄板に紙をひき4の生地を全体にムラなく伸ばし180℃で20～25分焼く。一度焼いたらすぐに取り出し熱いうちに切りわけ再度温度を調節して150℃で20～25分焼く,手前みそを使い、みそだれディップを作り焼き上がったピスコッティをつけて食べてもよし！！,,,,,,,,,,お好みで！！みそだれにつけて食べます。固焼き菓子です。自然な甘み、かぼちゃやビーフジャッキー、カシュ―ナッツの自然な甘味を焼き固菓子にして楽しむ。お酒やビールのおつまみに！！米粉と小麦粉を使用し素朴な甘味をつけ加えました。,,FIN
37,コーヒー米粉クレープ,（クレープ生地）米粉,60g,卵,110g,グラニュー糖,30g,無塩バター,20g,牛乳,90cc,エスプレッソ,30cc,（中身）クリームチーズ,100g,生クリーム,100cc,砂糖,70g,レモン汁,適量,,,,,,,,,,,,,,,,,,,,,,,卵・グラニュー糖・無塩バター・牛乳・エスプレッソに、ふるいにかけた米粉を混ぜる。,フライパンに油をひいて1を薄くのばして焼きクレープ生地を作る。,クリームチーズは常温にもどす。生クリームは5分立てぐらいにして砂糖・クリームチーズを一緒に混ぜる。レモン汁はお好みで。,冷めたらクリームチーズをクレープの上にのばし、砕いたアーモンドをかけて巻いていく。,,,,,,,,,,,,コーヒーの香りと、ほろ苦さがおしゃれなデザートです。,,FIN
38,コーヒーかりんとう,米粉,50g,小麦粉,50g,ベーキングパウダー,小さじ1,砂糖,10g,塩,少々,卵,1個,黒砂糖,40g,白砂糖,20g,エスプレッソ,10g,水,15g,,,,,,,,,,,,,,,,,,,,,,,米粉・小麦粉・ベーキングパウダー・白砂糖・塩を、ふるいにかけ、卵を加え耳たぶぐらいのやわらかさに仕上げる。,生地がまとまったら薄く伸ばし、短冊状に切る。,油で二度揚げし、油を十分にきっておきます。,なべに黒砂糖・白砂糖・エスプレッソ・水を煮たたせ、揚げた生地をからめます。,,,,,,,,,,,,コーヒーの苦みと黒砂糖の甘さがくせになります。,,FIN
39,コーヒーまんじゅう,米粉,130g,絹ごし豆腐,10g,砂糖,10g,白あん,30g,エスプレッソコーヒー（または、濃いめに入れたコーヒー）,10cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豆腐を水切りしておく。白あんにエスプレッソコーヒーをまぜコーヒーあんを作る。,ボールに米粉・豆腐・砂糖を入れ混ぜ合わせる。耳たぶくらいのやわらかさになったら20等分し、コーヒーあんを包む。,沸騰直前の湯の中に入れ茹でる、浮き上がったら取り上げて粗熱をとる。,,,,,,,,,,,,,白あんとコーヒーの組み合せがマッチします。,,FIN
40,米粉とおからの健康クッキースティック,バター,50g,砂糖,30g,米粉,50g,おから,50g,山芋,20g,豆乳,20cc,黒ごま,適量,ブラックベリー,適量,水,ベリーの体積の1/2,レモン汁,少量,砂糖,大さじ4,,,,,,,,,,,,,,,,,,,,,ボールに（室温の）バター、砂糖を入れ、クリーム状になるまで混ぜ合わせる。,米粉、おから、すりおろした山芋、豆乳も入れ、生地がまとまるまでしっかりこねる。生地の1/2には黒ごまをすりつぶしたペーストを混ぜる。,生地をラップで包み、30分冷蔵庫で休ませる。,鍋にブラックベリー、砂糖、レモン汁、水を入れ煮込んでジャムを作る。,生地はスティック状に形作って、180℃余熱したオーブンで15～18分焼く。,プレーンの方にはジャムをつけて、2種類とも完成。,,,,,,,,,,おからや山芋、豆乳など米粉もしっとりさくさくです。,,FIN
41,米粉のヘルシー豆乳寒,（米粉糊）水,100cc,米粉,30g,豆乳,400cc,砂糖,50g,粉寒天,5g,メープルシロップ,適量,栗の甘露煮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,水に米粉を加え弱火にかけよく練って半透明にする。,豆乳を火にかけ、砂糖を加え完全に溶かす。ここに粉寒天を加え完全に溶かす。,1に少しずつ2を加え混ぜ合わせる。,手早く器に入れ、冷やし固める。,食べるときにメープルシロップをかける。,,,,,,,,,,,米粉をいれるととろ～りなめらかな豆乳寒に！,,FIN
42,秋の味覚たっぷりタルト,（タルト生地）米粉,100g,砂糖,40g,塩,2g,無塩バター,90g,卵黄,1個,（トマトジャム）越のルビー,,砂糖,15g,（カスタードクリーム）全卵,1/2個,砂糖,55g,薄力粉,15g,米粉,8g,牛乳,100g,豆乳,50g,生クリーム,30g,無塩バター,5g,かぼちゃ,1/8個,さつまいも,1/3個,巨峰,1/2個,りんご,1/4個,柿,1/2個,食用菊,1パック,（タルト生地）米粉と砂糖・塩を混ぜ、無塩バターを入れてこね、バターの回りに粉がついてボロボロになったら卵黄1個を加える。ひとかたまりになったらラップに包んで冷やす。,（トマトジャム）越のルビーをみじん切りにして、砂糖を加えて煮つめる。,（カスタードクリーム）ボールに全卵と砂糖を加えて白っぽくなるまで混ぜ、次に薄力粉と米粉を加えてさらに混ぜる。牛乳と豆乳と生クリームは沸騰寸前まで温めて、その中に入れてよく混ぜる。もう一度火にかけ、とろみがついたら火から下し無塩バターを加えてえラップをかけて冷やす。,かぼちゃとさつまいもをいちょう切りにし茹で、りんごもいちょう切りにして砂糖で煮つめる。,柿をいちょう切りにする。,タルト型にタルト生地をひいてオーブン180℃で10分焼く。,タルト生地にトマトジャムを塗り、カスタードクリームに45で作ったもの、食用菊を混ぜて1の中に入れて180℃で20分焼く。,,,,,,,,,米粉でつくるとタルト生地がさくさく！,,FIN
43,お米まるごとヌカコメコ,豆乳,100cc,砂糖,140g,米油,60cc,米ぬか,60g,片栗粉,100g,米粉,110g,重曹,小さじ2/3,塩,小さじ1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,豆乳に砂糖を加え、泡立て器で混ぜる。,米油を少しずつ1に加え、さらに混ぜる。,米ぬか、片栗粉、米粉、重曹、塩を合わせてふるいにかけ、2に加える。,丸口金で絞り出して、オーブンで約170℃で25分程焼く。,,,,,,,,,,,,米ヌカを加えることで、カリポリッという食感が生まれました。米ヌカは新鮮なものを使ってね！！,,FIN
44,クリスタル・ボックス,（ようかん）小倉こしあん,400g,米粉,35g,砂糖,15g,（A）片栗粉,5g,塩,1g,ぬるま湯,60cc,（トマトグミ）トマトジャム,80g,レモン汁,小さじ1,板ゼラチン,15g,（ゼリー）桃の缶詰のシロップ,120g,水,80g,粉ゼラチン（大さじ1の水にふり入れ、ふやかしておく）,4g,,,,,,,,,,,,,,,,,,,（ようかん）あん、米粉、砂糖を混ぜ合わせる。,Aはよく練り、1に加えてホイッパーでよく混ぜる。,型に入れ、強火で35分蒸す。冷めてから小さくカットする。,（トマトグミ）鍋にトマトジャム、レモン汁、砂糖を入れ弱火にかける。,火を止め、板ゼラチンを加え、よく混ぜ合せる。,バットに潰して冷やし固める。お好みの大きさに切る。,（ゼリー）桃の缶詰のシロップと水を鍋で沸騰させてから火を止め、粉ゼラチンを入れ混ぜる。,カップにようかんとトマトグミを入れたところに、7を流しれて冷やし固めて完成！,,,,,,,,ようかんやトマトグミの形がかわいい、ポップな冷菓です。,,FIN
45,梅～瑞穂の米粉と梅肉入り黒糖クッキー,（Ａ）米粉,210g,アーモンドパウダー,50g,粉黒糖,75g,塩,小びん8～10ふり,無塩バター,130g,コンデンスミルク（練乳）,35g,梅（果肉）,50g位,ざらめ又はグラニュー糖,適量,,,,,,,,,,,,,,,,,,,,,,,,,,,Aを大きめのボールに入れ、よく混ぜ合わせる。,無塩バターを2cm弱の角切りにして1の中へ入れ、手で粉の中へ絞り込む。,バターと生地が混ざったら、練乳を入れて練り合わせる。,梅（梅ジュースや梅酒等に漬け込んだ後の梅）を細切りにして3の中へ入れ生地となじませる。,出来上がった生地を3等分して直径3cmぐらいの棒状にする。サランラップに包み冷凍庫なら40分～60分、冷凍庫なら30分生地を寝かす。,平皿に適量のざらめを入れ、5の生地を前後にコロコロ転がして全体にむらなくつける。厚さ5mmぐらいにカットしてクッキングシートの上に並べ、145～150℃のオーブンで30～40分、焼きぐあいを見ながら仕上げる。,,,,,,,,,,ホットな飲み物と一緒にどうそ～！！焼き上がりはレーズンのような感じの歯ごたえです。夏に漬け込んだ梅ジュースや年代物の梅酒の梅の使い道はないものかと考え、黒糖梅酒よりヒントを得ました。焼き菓子のクッキーに黒糖と梅果肉を！？とひらめきました。,,FIN
46,米粉でアップルパイ,りんご,1個,砂糖,大さじ4,レモン汁,少々,リンゴジュース,100cc,米粉,大さじ1,餃子の皮,7～10枚,揚げ油,適量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,りんごの皮をむいて芯をとり、1cm角に切る。鍋にりんごと砂糖・レモン汁を入れ、弱火で15分煮る。,1から汁が出てりんごが柔らかくなったら、りんごジュースを入れて10分弱火で煮る。,汁が少し残っている状態で火を止め、米粉を加えて全体を混ぜ合わせる。,再度弱火にかけ混ぜながら煮る。ひとかたまりになるくらい硬くなったら火を止める。,バットにあけて完全に冷ます。,餃子の皮の中心にりんごをのせる。,餃子の皮のふちに水をつけ半分におり、フォークで押えて止める。その上から手でも押さえて止める。その上から手でも押さえておく。,180度に熱した油でキツネ色になるまで揚げる。油を切って完成。少ない油でも大丈夫です。,,,,,,,,りんごは、硬くて酸味の強い品種が向いてます。餃子の皮を使うので、とても簡単です。,,FIN
47,米粉パンアンパンマンと野菜づくし,（A）米粉パンミックス（今立の米）,200g,ドライイースト,4g,砂糖,2g,スキムミルク,10g,塩,3g,バター,30g,水,180cc,（あん）かぼちゃ（裏ごしする）,200g,さつまいも（裏ごしする）,200g,じゃがいも,200g,砂糖・あずきあん・くり,裏ごしに各10gずつ,,,,,,,,,,,,,,,,,,,,,Aの材料をよく混ぜ合わせる。分量の水は少しずつ入れてこねる。ひと固まりになったら、バターを3～4回に分けて入れる。（こね時間は全体で15分ほど）,生地を45gに分割し、軽く丸めてあんを包む。アンパンマンは、鼻とほっぺの分の生地をくっつける。,35℃の発酵器に入れ、30分おく。,発酵したら、野菜あんのパンは、はさみで×に上をカットする。アンパンマンには卵を上からきれいにぬり、チョコで目をつける。,180℃に予熱したオーブンで12分焼く。,,,,,,,,,,,野菜の裏ごしを使ったヘルシーなおやつパンです。,,FIN
48,トマホケーキ,米粉,80g,卵,L4個,トマト（大）,1個,牛乳,20cc,ハチミツ,20g,砂糖,80g,油,40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,卵は卵黄と卵白に分ける。,卵白を泡立て、途中砂糖を少量ずつ加えながらメレンゲを作る。,トマトは皮をむき、ヘタと種を取り、牛乳、ハチミツと共にミキサーにかける。,卵黄をほぐし、油と3を少しずつ加え、さらに米粉を一度に入れてよく混ぜる。,4のボウルにメレンゲ1/2量入れて均一に混ざったら残りのメレンゲを入れよく混ぜる。,型に流し込み、オーブンで180℃20分焼く。,オーブンから取り出したら型を逆さにし、冷めてからケーキを取り出す。,お好みで生クリーム等を添える。,,,,,,,,トマトは完熟したものを使って下さい。トマトの香りが生きてます。,,FIN
49,こってこて和素材と米粉のシフォンケーキ,卵,6個,砂糖,150g,太白胡麻油,60cc,豆乳,80cc,塩麹,小さじ1,米粉,90g,小麦粉,60g,白・黒ごま,各少々,,,,,,,,,,,,,,,,,,,,,,,,,,,卵は白身と黄身に分ける。黄身に砂糖の半量を入れて混ぜる。,ゴマ油と豆乳を1に加え、よく混ぜる。塩麹も加える。,2に米粉と小麦粉をふるいながら加え、少し粘りが出るように混ぜる。,卵白に残りの砂糖を何回かに分けて加え、しっかりしたメレンゲを作る。,メレンゲを3のボールに3回に分けて加える。白・黒ごまを加え、ざっと混ぜる。,油をぬっていない型に流し入れ、170℃のオーブンで40分焼く。,逆さにして冷まし、型から抜きカットする。,,,,,,,,,米粉は、シフォンケーキに最適の素材。ふんわり、しっとり仕上がります。水を豆乳に、サラダ油を胡麻油に代えることで、よりヘルシーになりました。,,FIN
50,米粉とおからのスコーン,米粉,100g,おから,30g,きな粉,大さじ1,ベーキングパウダー,大さじ1,砂糖,大さじ5,塩,ひとつまみ,オリーブオイル,大さじ2,無調整豆乳,大さじ3,メープルシロップ,適量,,,,,,,,,,,,,,,,,,,,,,,,,オーブンを200℃に予熱しておく。,ボールに米粉、おから、きな粉、ベーキングパウダー、砂糖、塩を入れてよく混ぜ合わせ、オリーブオイルを入れてゴムベラでさっと混ぜる。豆乳を少しずつ加えて、まとまってきたら手でひとまとめにする。,台に米粉で打ち粉をして、生地を2cm厚位の正方形に押し広げる。8等分に切る。,好みで薄くメープルシロップを塗り、200℃のオーブンで15分程度焼く。,,,,,,,,,,,,おから、きな粉、豆乳などヘルシーな材料いっぱいのスナック。,,FIN
51,甘酸っぱい夏をもう一度,（トマト風味ケーキ）バター,50g,砂糖,50g,卵,1個,米粉,50g,越のルビー（トマト）,約2～3個（絞ったジュースで50ml）,（お茶の葉クッキー）バター,25g,砂糖,18g,卵黄,1/2個,米粉,30g,お茶（緑茶の粉）,15g,,,,,,,,,,,,,,,,,,,,,,,（トマト風味ケーキ）トマトの皮を取り、みじん切りにする。ガーゼなどで包んでしぼる。,常温にしたバターをクリーム状になるまで練る。,砂糖を加え、よく混ぜる。,卵をよく溶いて、3に少しずつ加えながら混ぜる。,1の鍋を弱火にかけ、泡だて器でかき混ぜながら4を少しずつ入れていく。トマトジュースを加え混ぜる。,米粉をダマにならないよう少しずつ加えて混ぜる。,カップケーキ用のカップ4つに均等に分けて入れ、180℃のオーブンで20～25分間焼く。,竹串を刺して中までしっかり火が通っているか確認。,（お茶の葉クッキー）常温にしたバターをクリーム状になるまで練る。,砂糖を加えよく混ぜる。,卵黄を加えよく混ぜる。,お茶の葉を加えよく混ぜる。,米粉を加え混ぜる。,星形を4つのと葉っぱの形を8つ作る。,180℃のオーブンで15分焼く。,トマトを完熟したものを選んでね。,,FIN
52,さつまいものケーキ,米粉,300g,ベーキングパウダー,大さじ1,さつまいも,1/2個,（A）豆乳,280cc,なたね油,100cc,メープルシロップ,80cc,食塩,小さじ1/2,黒ごま,大さじ1,,,,,,,,,,,,,,,,,,,,,,,,,,,ボールに米粉、ベーキングパウダーを入れてよく混ぜる。,さつまいもは洗い、皮つきのまま2cmほどの輪切りにし、やわらかく蒸してから1cm角に切る。,別にボールにAを入れてよき混ぜ、1に加えて混ぜ合わせる。,3に2を加え、さっくりと混ぜる。,型に4を流し入れ、上に黒ごまを散らし、170℃に温めたオーブンで35分ほど焼く。,,,,,,,,,,,味の味覚、さつま芋がたっぷりのヘルシーケーキ。,,FIN
53,米粉と豆乳で作るヘルシーかぼちゃドーナツ,米粉,200g,ベーキングパウダー,小さじ2,無塩バター,20g,砂糖,60g,卵,2個,豆乳,200cc,かぼちゃ,100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ベーキングパウダーと米粉はふるっておき、オーブンは180℃に予熱して型に油を薄くぬっておく。,かぼちゃを1cm角に切り、耐熱ボールに入れてレンジで約3分やわらかくなるまで加熱し、泡立て器で潰す。,2に砂糖、とかしたバターを加え、卵を加えてよく混ぜ、さらに豆乳を加えて滑らかになるまでよく混ぜる。,3にふるったベーキングパウダー、米粉を加え、ゴムべらでさっくり混ぜる。,4を型に流し入れ、180℃に予熱したオーブンで20分焼く。,焼き上がったら粗熱を取って出来上がり。,,,,,,,,,,油で揚げながら、ローカロリーなのがうれしい焼きドーナツ。かぼちゃは、さつま芋などに代えても。,,FIN
54,トマトクリームの米粉カップケーキ～ニューヨークスタイル～,（カップケーキ）（A）米粉,150g,小麦粉,100g,塩,小さじ1/3,炭酸,小さじ3/4,卵,M2個,牛乳,100cc,サラダ油,120cc,抹茶,5g,（クリーム）無塩バター,200g,粉砂糖,340g,トマトビューレ,15g,牛乳,30cc,トマトジャム,適量,,,,,,,,,,,,,,,,,（カップケーキ）ボールにAを入れ、均一に混ぜる。,卵、牛乳、サラダ油、抹茶を順番通り1に入れて混ぜる。,マフィン型7～8分目まで入れ、180℃のオーブンで27分焼く。,（クリーム）やわらかくしたバターを白っぽくなるまで混ぜる。,粉砂糖を3回に分けて加えて入れ、よく混ぜる。,トマトビューレと牛乳を混ぜ合わせてから、5に入れて混ぜあわせる。,しぼり出し袋に入れる。,焼きあがり、少し冷ましたカップケーキにクリームをしぼり出す。トマトジャムをクリームの上に垂らして完成！,,,,,,,,トマトクリームがおしゃれなカップケーキ。,,FIN
55,そば粉＋米粉だんごの黒蜜かけ,（だんご）そば粉,20g,米粉,20g,水,40cc,（黒蜜）黒糖,20g,水,50cc,塩,少々,くず粉,5g,飾り用黒糖,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,（だんご）そば粉と米粉を混ぜる。,1に水を少しずつ足してこねる。,2を4等分して平らな団子にする。,なべに水を入れて、だんごを入れて弱火で煮る。だんごが上にあがってきたら引き上げて、水につけ、ぬめりをとる。,（黒蜜）黒糖20gに水50ccを入れ弱火で熱して溶かす。,塩を少々入れ、味見をする。,くず粉5gを少量の水でとかし、6に入れ、とろみがでるまで煮る。,4のだんごを7に入れ、弱火で煮る。皿に盛りつけ、上に刻んだ黒糖をのせ、出来上がり。,,,,,,,,味は塩味がきいていて甘さひかえめです。とにかく熱々を食べて下さい。,4コ,FIN
56,野菜ごろごろ米粉のキッシュ,（生地）牛乳,90cc,米粉,190g,卵,1個,サラダ油,15g,砂糖,15g,（具）ミニトマト,10個,なす,3個,水菜,1束,ベーコン,4枚,卵,2個,牛乳,100cc,とろけるチーズ,好きな量,粉チーズ,好きな量,バター,5g,,,,,,,,,,,,,,,生地を作る。生地に使う材料を練りあわせ、薄く伸ばしてパイ用の型に敷きつめる。（できあがった時、少しふくらむため薄めにする。）,なすをバターで炒める。（少し色がつく程度）水菜は一度ゆで、水気を切る。,生地以外の材料をボールの中で良く混ぜ、生地の中へ流し込む。（この時材料が均一になるように並べる。）,220℃で予熱しておいたオーブンの中で2分加熱する。オーブンの中から出し、少し冷めたら8等分にする。,,,,,,,,,,,,いろんな野菜を一緒に食べることができ、子供でも食べやすい一品。おもてなし料理にもなります！！,,FIN
57,ほくほくアピオス入りかぼちゃコロッケ,アピオス,300g,かぼちゃ,200g,合挽肉,200g,卵,1個,米粉,130g,パン粉,50g,揚げ油,,塩・こしょう,適量,,,,,,,,,,,,,,,,,,,,,,,,,,,アピオスをゆで、、皮をむいて塩・こしょうをふる。,かぼちゃは蒸して熱いうちにつぶす。,ボールに2のかぼちゃ、合挽肉、卵、米粉を入れ、塩・こしょうを少々ふって、よくこね、1のアピオスを中心に入れてコロッケ型にする。,米粉、卵、パン粉の順につけ、油でカラッと揚げる。,,,,,,,,,,,,アピオス（アメリカホドイモ）は、マメ科の植物で、栄養が豊富なため、ネイティブアメリカンが好んで食べたと言われています。ゆでたり、揚げたりして食べます。ほっくりした食感が最近人気です。,4人分,FIN
58,米粉でサラダ風。,米粉,100g,絹ごし豆腐,60g,塩,少々,エリンギ,1束,かいわれ大根,1束,（ドレッシング）めんつゆorだしじょうゆ,小さじ2,卵黄,3個分,塩,少々,砂糖,小さじ2.5,オリーブオイル,少々,米粉,少々,牛乳,小さじ3,,,,,,,,,,,,,,,,,,,米粉と絹ごし豆腐、塩をボールに入れ、耳たぶのかたさになるまで混ぜ合わせる。,1に生地を食べやすい大きさにまるめ、中心をくぼませる。,沸騰したお湯に2を入れ、1～2分ゆでる。,茹であがったら冷水にとる。,（ドレッシング）卵黄と塩、砂糖、オリーブオイル、米粉、牛乳、めんつゆorだしじょうゆを入れて混ぜ合わせる。,エリンギを塩を入れたお湯でさっとゆでる。冷めたら手でさいて、ドレッシングに漬け込む。,かいわれ大根は洗って根を取る。,かいわれ大根を切る。4と6をお皿に盛り、かいわれ大根をあしらう。,,,,,,,,米粉を絹ごし豆腐でこねるので、とても柔らかでとってもヘルシーです。,,FIN
59,福井のさといもで作った米粉シチュー☆,鶏むね肉,500g,にんじん,1本,玉ねぎ,1個,さといも,4～6個,コンソメ,2個,ブイヨン,1個,ローレルの葉,1枚,米粉,大さじ3～5,水,1000cc,牛乳,600cc,塩・こしょう,少々,ナツメグ（粉）,少々,ブロッコリー,1個,とろけるチーズ,少々,,,,,,,,,,,,,,,お肉は一口サイズ、にんじん、さといも、玉ねぎは皮をむいて好みの大きさに切る。,鍋に水、具材、コンソメ、ローレルの葉を入れ煮込む。,具が柔らかくなったら、牛乳と米粉を混ぜ合わせて加える。,ブイヨンを入れ、味見しながら塩・こしょう、ナツメグを入れる。（ナツメグは少しずつ入れる）,とろみがつけば完成！,,,,,,,,,,,米粉と里芋のとろみで、コクがあります。,,FIN
60,さくさく米粉のささみとり天ともちもち米粉の豆乳入トルティーヤ,（生地）米粉,200g,豆乳,1カップ,片栗粉,大さじ1,油,適量,（ささみとり天）鶏ささみ,4つ,（A）ニンニク（すりおろし）,1かけ,ショウガ（すりおろし）,1かけ,酒,大さじ1,塩,少々,しょう油,大さじ1,（B）卵,1個,水,1/3カップ,米粉,1/2カップ,,,,,,,,,,,,,,,,,（生地の作り方）米粉と片栗粉をボールに入れ、豆乳を加え、よく混ぜ合わせる。,テフロンのフライパンに薄く油をひき、弱火にかける。,おたま1杯分の1をフライパンに流し入れる。,周りがフライパンからはがれて、少し焼き色がついたらひっくり返し、5秒ほどたったら取り出して、ひらたいお皿に並べていく。,（ささみとり天）ささみはすじを取り除き、たて半分に切る。,Aを混ぜ合わせ衣をつくり、ササミにたっぷりとからませ、180℃の油に入れ、こんがり色つくまで揚げる。,,,,,,,,,,トルティーヤ生地にレタス、トマト、とり天、マヨネーズをのせて巻いて食べるとシンプルでおいしいです。また大根おろしの水分をきって、ぽん酢を合せたものと、とり天、レタスを巻いて食べると和風でサッパリしておいしいです。ほかにもアレンジは様々です。米粉特有のもちもちとサクサク感が一度に味わえます。,,FIN
